antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0033323613945932438,0.01037197484067147,0.0033323613945932438,1.0,96.4136546184739,1.0,0.003297798226048498,inf,0.9929368495841517,0.321285140562249,1.0,0.6606425702811245
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/'}),0.0033323613945932438,0.22689215645436747,0.0033323613945932438,1.0,4.407380209289517,1.0,0.002576274731688699,inf,0.7756927320600158,0.014686983660730677,1.0,0.5073434918303653
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.0033323613945932438,0.013829299787561962,0.0033323613945932438,1.0,72.31024096385542,1.0,0.003286277169866916,inf,0.989467965060392,0.24096385542168675,1.0,0.6204819277108433
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/autoridades', '/web/area-de-concesion'})",frozenset({'/'}),0.0037905610863498145,0.22689215645436747,0.0037905610863498145,1.0,4.407380209289517,1.0,0.002930512507295895,inf,0.7760495066064559,0.016706443914081145,1.0,0.5083532219570406
"frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones'})",frozenset({'/'}),0.0038738701212146457,0.22689215645436747,0.0038738701212146457,1.0,4.407380209289517,1.0,0.002994919375588113,inf,0.7761144099690559,0.017073618505599412,1.0,0.5085368092527998
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion'})",frozenset({'/'}),0.0038738701212146457,0.22689215645436747,0.0038738701212146457,1.0,4.407380209289517,1.0,0.002994919375588113,inf,0.7761144099690559,0.017073618505599412,1.0,0.5085368092527998
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt', '/', '/web/sample-page/delegaciones'})",frozenset({'/web/area-de-concesion'}),0.0033323613945932438,0.01037197484067147,0.0033323613945932438,1.0,96.4136546184739,1.0,0.003297798226048498,inf,0.9929368495841517,0.321285140562249,1.0,0.6606425702811245
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt', '/web/sample-page/delegaciones'})",frozenset({'/'}),0.0033323613945932438,0.22689215645436747,0.0033323613945932438,1.0,4.407380209289517,1.0,0.002576274731688699,inf,0.7756927320600158,0.014686983660730677,1.0,0.5073434918303653
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt', '/'})",frozenset({'/web/sample-page/delegaciones'}),0.0033323613945932438,0.006331486649727163,0.0033323613945932438,1.0,157.94078947368422,1.0,0.0033112625929113105,inf,0.996990847160112,0.5263157894736843,1.0,0.7631578947368421
"frozenset({'/web/area-de-concesion', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/sample-page/delegaciones'}),0.0033323613945932438,0.006331486649727163,0.0033323613945932438,1.0,157.94078947368422,1.0,0.0033112625929113105,inf,0.996990847160112,0.5263157894736843,1.0,0.7631578947368421
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/web/sample-page/delegaciones'}),0.0033323613945932438,0.006331486649727163,0.0033323613945932438,1.0,157.94078947368422,1.0,0.0033112625929113105,inf,0.996990847160112,0.5263157894736843,1.0,0.7631578947368421
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.0052901237139167745,0.0033323613945932438,1.0,189.03149606299212,1.0,0.003314732790556365,inf,0.9980356918961841,0.6299212598425198,1.0,0.8149606299212598
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0033323613945932438,0.01037197484067147,0.0033323613945932438,1.0,96.4136546184739,1.0,0.003297798226048498,inf,0.9929368495841517,0.321285140562249,1.0,0.6606425702811245
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/'}),0.0037072520514849837,0.22689215645436747,0.0037072520514849837,1.0,4.407380209289517,1.0,0.002866105639003678,inf,0.7759846140981688,0.01633926932256288,1.0,0.5081696346612814
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.0038738701212146457,0.0033323613945932438,1.0,258.13978494623655,1.0,0.0033194522593536398,inf,0.9994566807372424,0.8602150537634408,1.0,0.9301075268817205
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/'}),0.0033323613945932438,0.22689215645436747,0.0033323613945932438,1.0,4.407380209289517,1.0,0.002576274731688699,inf,0.7756927320600158,0.014686983660730677,1.0,0.5073434918303653
"frozenset({'/', '/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/sample-page/delegaciones'}),0.0033323613945932438,0.006331486649727163,0.0033323613945932438,1.0,157.94078947368422,1.0,0.0033112625929113105,inf,0.996990847160112,0.5263157894736843,1.0,0.7631578947368421
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.0033323613945932438,0.013829299787561962,0.0033323613945932438,1.0,72.31024096385542,1.0,0.003286277169866916,inf,0.989467965060392,0.24096385542168675,1.0,0.6204819277108433
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.0033323613945932438,0.013829299787561962,0.0033323613945932438,1.0,72.31024096385542,1.0,0.003286277169866916,inf,0.989467965060392,0.24096385542168675,1.0,0.6204819277108433
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/'}),0.0033323613945932438,0.22689215645436747,0.0033323613945932438,1.0,4.407380209289517,1.0,0.002576274731688699,inf,0.7756927320600158,0.014686983660730677,1.0,0.5073434918303653
